release_name,rating_col,train_rows,test_rows,global_mean,rmse,mae,status
original_movie_rating_month,rating,799850,200150,3.624563455581665,0.9689252376556396,0.7632392644882202,ok
remove_month,rating,799850,200150,3.624563455581665,0.9689252376556396,0.7632392644882202,ok
year_only,rating,799850,200150,3.624563455581665,0.9689252376556396,0.7632392644882202,ok
add_rating_noise,rating_noisy,799850,200150,3.6013689041137695,0.9722565412521362,0.770336925983429,ok
k_suppress_movie_rating_month_k5,rating,771124,200150,3.6536755561828613,0.9742223024368286,0.7657526135444641,ok
coarsen_rating,rating_bucket_midpoint,799850,200150,3.66018009185791,0.9749118089675903,0.7635917067527771,ok
remove_month_and_coarsen_rating,rating_bucket_midpoint,799850,200150,3.66018009185791,0.9749118089675903,0.7635917067527771,ok
remove_rare_movies_min_500,rating,776685,200150,3.6410887241363525,0.9764127731323242,0.7691570520401001,ok
movie_only,,799850,200150,,,,skipped_no_rating_labels
