release_name,knowledge_cols,n_known,avg_candidate_size,median_candidate_size,pct_unique,pct_5_or_less,pct_10_or_less,avg_surety_pct,median_surety_pct,trials
add_rating_noise,movie_id + rating_noisy + month,1,829.9066666666666,446.5,0.33333333333333337,3.0,4.666666666666667,2.300284567080029,0.22402737499121952,300
original_movie_rating_month,movie_id + rating + month,1,900.8133333333334,454.0,0.6666666666666667,3.3333333333333335,4.666666666666667,2.5221181052964248,0.22026431718061673,300
k_suppress_movie_rating_month_k5,movie_id + rating + month,1,853.8566666666667,533.5,0.0,0.33333333333333337,1.3333333333333335,0.9098413492093936,0.18744290633124866,300
remove_rare_movies_min_500,movie_id + rating + month,1,952.03,555.0,0.0,1.3333333333333335,3.0,1.3030423472122927,0.18018076513518427,300
coarsen_rating,movie_id + rating_bucket + month,1,1463.9033333333334,610.5,0.6666666666666667,3.0,4.0,1.9107011220992312,0.16380291062076072,300
year_only,movie_id + rating + year,1,7738.276666666667,4194.0,0.0,0.0,0.6666666666666667,0.27640382094537264,0.023843586075345733,300
remove_month,movie_id + rating,1,17072.993333333332,10976.5,0.0,0.0,0.0,0.09965797090699434,0.009111470240750336,300
remove_month_and_coarsen_rating,movie_id + rating_bucket,1,28190.173333333332,15686.0,0.0,0.0,0.0,0.06158944783282996,0.006375111564452378,300
movie_only,movie_id,1,57509.83666666667,39752.0,0.0,0.0,0.0,0.024034159792434426,0.00251559669953713,300
add_rating_noise,movie_id + rating_noisy + month,2,10.123333333333333,2.0,42.66666666666667,73.0,81.66666666666667,55.89697703180956,50.0,300
original_movie_rating_month,movie_id + rating + month,2,11.18,2.0,41.66666666666667,71.0,79.33333333333333,54.86897378378858,50.0,300
remove_rare_movies_min_500,movie_id + rating + month,2,13.273333333333333,2.0,40.666666666666664,67.33333333333333,79.0,52.71607077761114,50.0,300
k_suppress_movie_rating_month_k5,movie_id + rating + month,2,12.956666666666667,3.0,34.0,65.0,76.33333333333333,47.87197987221302,33.333333333333336,300
coarsen_rating,movie_id + rating_bucket + month,2,28.926666666666666,3.0,30.333333333333336,57.333333333333336,68.66666666666667,43.56172928975055,33.333333333333336,300
year_only,movie_id + rating + year,2,355.02,69.5,6.0,15.0,21.333333333333336,11.625685695322185,1.4389233954451346,300
remove_month,movie_id + rating,2,1319.06,414.5,1.6666666666666667,5.666666666666666,9.333333333333334,4.369078410009344,0.24125768299497113,300
remove_month_and_coarsen_rating,movie_id + rating_bucket,2,3534.8533333333335,967.0,0.6666666666666667,2.3333333333333335,5.333333333333334,2.1725250222247836,0.1034127269305135,300
movie_only,movie_id,2,13918.396666666667,6482.0,0.0,0.0,0.33333333333333337,0.2746667947554075,0.015433640903748488,300
k_suppress_movie_rating_month_k5,movie_id + rating + month,3,1.21,1.0,89.33333333333333,99.0,100.0,93.7361111111111,100.0,300
add_rating_noise,movie_id + rating_noisy + month,3,1.2133333333333334,1.0,93.0,98.0,100.0,95.27539682539683,100.0,300
original_movie_rating_month,movie_id + rating + month,3,1.2733333333333334,1.0,90.66666666666666,98.0,100.0,93.8994708994709,100.0,300
remove_rare_movies_min_500,movie_id + rating + month,3,1.2866666666666666,1.0,92.0,98.33333333333333,99.33333333333333,94.64419191919193,100.0,300
coarsen_rating,movie_id + rating_bucket + month,3,2.11,1.0,82.66666666666667,94.33333333333334,97.0,87.65474991123926,100.0,300
year_only,movie_id + rating + year,3,26.29,5.0,28.666666666666668,53.0,64.66666666666666,40.755319083830834,20.0,300
remove_month,movie_id + rating,3,137.43666666666667,32.5,11.0,24.333333333333336,34.0,18.24634798539956,3.077651515151515,300
remove_month_and_coarsen_rating,movie_id + rating_bucket,3,547.3933333333333,105.0,4.666666666666667,13.0,18.666666666666668,9.482480272933948,0.9524673439767779,300
movie_only,movie_id,3,4135.0633333333335,1936.0,0.33333333333333337,0.6666666666666667,2.0,1.067912700376024,0.051653237091826704,300
